AMZN,AMZN,AMZN,AMZN,AMZN,SPY,SPY,SPY,SPY,SPY,TSLA,TSLA,TSLA,TSLA,TSLA
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
1638.0,1642.57,1585.0,1591.92,5752043,262.96,265.5126,259.85,260.5,102862203,375.0,377.87,364.33,365.61,6215126
1566.0,1576.13,1505.01,1519.75,8117515,259.4,260.68,253.525,255.1,144021435,362.0,365.7,343.88,348.29,7364321
1540.0,1567.55,1523.01,1551.11,6143530,257.2,257.95,253.28,255.12,119045611,350.54,351.55,333.69,336.83,6896291
1543.05,1584.53,1483.18,1494.83,7903568,255.17,259.4,249.35,251.19,195780833,337.6,347.01,329.74,332.98,8083353
1484.0,1509.5,1432.69,1460.83,9314198,249.86,251.62,244.65,247.25,221564223,327.0535,330.29,311.869,315.315,8519343
1464.99,1480.0,1363.96,1376.73,12453718,246.74,249.71,239.98,240.73,210693307,317.4,323.47,312.44,319.91,7570973
1346.0,1396.03,1307.0,1342.91,6958691,239.04,240.8355,234.31,234.41,127577312,313.5,314.5,295.195,295.69,5350960
1368.89,1473.1567,1363.01,1470.81,9884789,235.97,246.0,233.76,245.96,191221925,300.0,326.97,294.09,326.08,7928079
1454.2,1469.0,1390.31,1462.0,9157443,242.57,248.01,238.96,248.01,159105665,319.84,322.1717,301.5,315.9188,8310934
1473.35,1513.47,1449.0,1475.18,8215424,249.58,251.4,246.45,247.6899,132250127,323.1,336.24,318.41,333.86,8973702
1510.8,1520.76,1487.0,1492.38,6215958,249.56,250.16,247.47,248.55,100767777,337.79,339.21,325.26,331.4531,5898332
1465.2,1553.36,1460.93,1536.73,7132821,245.98,251.21,245.95,249.89,107236613,306.5,315.13,298.8,309.8699,10751296
1520.01,1538.0,1498.1062,1502.07,6340704,248.23,248.57,244.03,244.46,113782919,307.0,309.4,297.38,300.31,6672221
1530.0,1594.0,1518.31,1574.54,8285596,247.59,253.11,247.17,252.41,122528832,306.0,318.0,302.73,317.54,6983846
1602.31,1634.56,1589.185,1631.12,7252880,252.69,255.95,251.69,254.4,88317608,321.66,336.74,317.7508,334.986,7193888
1664.69,1676.61,1616.61,1655.835,8184304,256.82,257.31,254.0,256.65,88864452,341.98,344.01,327.02,335.49,6567180
1652.98,1667.799,1641.3953,1657.59,5718583,257.56,258.91,241.4,257.71,77555720,335.5,343.5025,331.47,338.52,5199244
1643.07,1663.25,1621.615,1655.5,6024209,256.26,259.16,255.5,258.94,85909797,334.4,345.39,331.79,344.91,5719942
1640.55,1660.294,1636.22,1639.66,4171157,257.68,259.0098,257.03,258.76,60544770,342.09,348.41,338.77,347.35,4796324
1615.0,1648.2,1595.15,1619.8767,5255053,256.86,258.3,256.41,257.69,51552561,342.5,342.5,334.0,334.7,5009149
1632.0,1672.97,1626.01,1672.75,5504935,257.82,260.7,257.25,260.21,72130969,335.0,348.8,334.5,344.345,5803044
1684.22,1705.0,1675.8787,1681.9703,5690955,260.83,261.9666,260.6,260.94,59299089,344.78,352.0,343.5,345.89,4500918
1681.46,1700.17,1677.5,1691.37,3801991,260.01,263.92,259.96,262.88,79893207,346.21,351.5,344.15,347.15,3488578
1712.0,1716.2,1691.54,1693.2421,5590622,264.98,266.98,262.998,266.16,99666883,323.06,327.1297,299.7301,302.22,22317439
1681.0,1681.8668,1610.2,1628.398,5768384,264.82,265.06,261.06,261.97,88775864,304.82,308.0,295.5,298.18,11524285
1655.99,1657.43,1612.0,1636.55,4758701,264.01,264.79,260.66,263.1,74195206,292.5,294.5,281.69,287.18,11633895
1641.07,1657.2572,1631.7847,1654.97,3419975,263.21,264.2,262.08,263.69,48407752,283.47,293.68,279.2831,291.855,7588695
1670.0,1683.48,1661.6122,1668.6,4248850,265.61,266.7,263.6595,265.7,78094541,294.39,298.5195,289.55,297.0,6831199
1644.62,1645.0,1614.09,1636.185,4294355,263.39,263.82,261.79,263.635,75207990,292.91,297.46,287.75,296.38,6123573
1631.27,1632.38,1590.72,1592.73,4087240,263.92,264.55,262.48,263.31,54249161,295.27,298.5566,291.8,297.18,4359468
1622.09,1676.95,1619.68,1670.2312,4779035,265.1,268.52,264.25,267.4625,75091893,300.45,308.8531,298.49,308.705,7828001
1691.87,1736.411,1679.0822,1720.41,7804004,267.51,270.47,267.27,270.2325,73699733,301.0,311.5636,294.0,307.0679,11706783
1637.8,1673.06,1622.01,1623.8,10364406,270.15,271.2,269.18,270.07,68194167,305.42,316.1,303.5,312.1801,6978985
1623.0,1649.63,1613.5,1630.5,4434619,270.11,271.8,269.36,271.78,46985797,312.98,315.3,301.88,312.465,7019206
1643.34,1665.26,1642.5,1656.87,3853990,272.44,273.44,271.88,273.13,61540042,312.37,322.44,312.2494,321.37,6415638
1670.75,1672.26,1633.34,1639.42,3639233,272.79,273.34,271.92,272.7,43446324,319.59,324.24,315.624,317.77,4744608
1625.02,1625.539,1592.91,1611.6058,4065241,270.94,271.55,268.29,269.97,83380785,313.3,314.7,303.0,307.5999,6189747
1586.0,1588.59,1566.756,1585.7397,5163140,268.75,270.2874,267.83,270.08,63409417,306.98,307.445,298.5,305.34,5560662
1600.78,1609.29,1586.0,1591.8,2993984,271.2,271.49,270.03,270.64,57175393,311.6,318.6,310.5,313.02,6697977
1603.99,1638.97,1598.88,1637.89,4397459,272.42,274.52,272.34,274.075,60116740,316.2,318.19,309.62,311.99,5151145
1647.0,1656.38,1637.1063,1640.3726,3144253,275.03,275.93,274.56,274.98,54446766,312.45,312.75,305.57,308.34,4918601
1624.5,1637.9,1606.061,1623.8774,3678810,273.78,275.64,266.75,274.535,72729366,303.38,306.77,301.0,303.98,4875188
1627.86,1628.9099,1604.5,1607.5299,3972633,276.36,277.34,276.13,277.27,74792740,304.5,308.0,303.9,307.8181,3655601
1601.0,1634.0,1600.56,1627.4731,3363526,276.4813,278.58,276.47,277.78,49878739,306.56,311.5442,305.59,305.59,3928167
1630.0,1634.93,1610.12,1622.62,3099413,277.81,278.92,277.25,278.43,66580035,304.41,306.3,299.0,302.53,6413092
1619.85,1623.56,1600.91,1619.9,3294305,277.7,278.1,276.345,277.46,54366314,301.81,303.2399,290.5,291.24,8521093
1623.5,1634.94,1621.17,1631.19,2590256,278.11,279.36,277.4029,279.15,66916124,294.49,296.5,292.1,294.69,5459428
1641.45,1654.6,1630.3873,1633.0,2858663,280.73,281.31,279.43,279.57,62598105,297.91,302.9044,297.0005,298.7,5893761
1625.98,1639.99,1616.1335,1636.33,2387059,279.13,280.3,278.9,279.34,51038945,292.22,302.01,288.7701,297.81,8096676
1628.18,1641.81,1615.1,1641.09,2855043,278.52,279.59,277.48,279.23,50391483,301.42,316.295,300.55,314.795,10618216
1635.25,1651.77,1633.83,1639.79,2439847,278.96,279.45,278.32,278.54,52938984,318.92,320.0,310.81,319.81,8869984
1653.74,1674.26,1651.0,1671.26,4274122,280.44,280.88,278.82,280.49,64119601,306.88,307.13,291.9,294.66,21624319
1685.0,1709.43,1674.36,1696.16,5635905,281.6,281.87,276.84,279.41,89783576,298.12,298.78,282.78,285.3,16306926
1702.95,1707.8,1689.01,1691.81,3441803,279.54,279.76,278.41,279.05,48652076,282.0,284.0,270.1,276.64,17966785
1695.97,1697.75,1668.28,1669.16,3715728,279.15,279.16,276.97,277.29,61873702,276.54,281.5058,274.39,276.23,10154076
1667.06,1669.7534,1620.51,1626.28,4213562,276.83,276.99,274.07,275.08,85418006,278.84,284.7,274.25,276.6,8865853
1604.01,1622.72,1586.57,1622.11,4139096,272.94,274.65,272.42,274.525,74907975,276.91,285.59,275.89,284.13,8457763
1626.95,1672.285,1626.01,1670.32,3476811,275.26,278.62,270.14,278.5,54137659,283.52,291.28,280.5,290.86,6980280
1669.0,1684.265,1660.98,1672.42,3094709,279.06,280.07,278.85,279.44,66167643,286.49,288.07,281.06,283.37,7127257
1683.0,1700.0,1679.35,1690.8,3263391,280.48,282.38,280.3,281.34,66248190,283.9,291.99,282.7,288.91,6554342
1691.2,1702.0,1684.34,1685.29,2583867,281.37,281.84,280.6662,281.19,57299650,292.45,295.39,288.29,289.96,6699809
1700.22,1718.8,1693.13,1712.91,4133684,280.52,282.21,280.2794,281.35,59622148,277.7671,280.19,274.4,275.5492,8870978
1712.39,1750.0,1712.39,1742.0,4804401,281.55,282.66,281.3,282.38,53119090,275.94,278.05,267.3,269.52,9780738
1754.13,1784.16,1753.51,1762.7,5692348,283.485,284.36,281.41,282.48,65808961,267.5,273.3,263.46,267.38,11314236
1769.94,1799.01,1767.0338,1797.73,5635029,282.16,283.5,280.32,281.53,75155036,269.69,274.97,266.3,273.5,6668734
1796.26,1823.75,1787.281,1818.4,5081857,280.64,285.18,280.59,284.67,70057220,272.0,276.45,268.45,274.045,5664291
1810.17,1818.98,1763.11,1764.06,5841108,283.22,283.8034,279.18,279.25,109874331,272.58,272.8,264.0,264.64,8299079
1757.79,1782.675,1747.5,1774.07,4735693,278.87,280.1853,277.64,279.03,75858918,259.71,263.18,254.46,260.49,9687165
1792.85,1805.77,1773.3597,1784.47,4486129,280.99,282.18,279.56,281.02,58474043,264.44,270.26,264.43,267.7602,7062104
1784.13,1787.5,1745.68,1766.0,3998643,281.11,281.76,277.93,279.72,65592510,268.75,275.36,268.1838,274.9,8402247
1770.0,1777.93,1753.47,1773.67,2819446,280.35,281.21,279.07,280.79,50705408,277.16,280.33,275.1,278.58,6404454
1786.58,1792.86,1776.63,1781.09,2744465,282.39,282.84,281.14,282.62,57724114,278.7,280.16,274.5,279.75,5650129
1800.11,1815.67,1798.73,1814.36,2005504,284.7,286.16,284.4,285.89,26929510,282.62,289.2,281.281,289.18,3667993
1811.93,1820.0,1805.121,1814.0,3098296,286.04,286.23,285.09,285.98,36786442,288.3,289.44,283.88,285.85,5150050
1826.72,1830.0,1809.62,1820.41,3637589,287.32,287.76,285.75,286.52,57816894,287.32,296.17,287.17,291.76,7566626
1820.65,1828.75,1804.2,1819.51,3318144,286.78,287.459,286.01,287.22,45109131,261.69,271.2,260.59,267.8,21128569
1829.0,1838.58,1825.19,1837.65,3186217,287.92,288.63,287.2272,288.62,51506957,269.86,276.1,266.11,274.96,12356211
1833.23,1850.2,1825.11,1849.679,3432186,288.1,288.91,287.37,288.81,42813271,277.69,281.16,270.44,273.15,9847191
1845.49,1853.09,1831.78,1836.52,3300977,287.72,288.08,286.7,287.305,57028997,271.65,275.0,269.61,272.4,5631504
1841.0,1848.0,1828.81,1847.33,2766747,287.77,288.3899,287.31,288.29,44663930,276.74,278.38,272.8925,276.05,6371614
1848.7,1849.95,1840.31,1844.5,2412329,288.83,288.84,287.578,288.23,50215810,268.3,270.5,265.6,268.4498,8812029
1848.4,1851.5,1841.3,1842.96,2598729,290.0,290.47,288.261,290.19,53039670,270.22,271.95,266.83,267.68,6514945
1842.0,1846.85,1818.9,1844.85,3271660,290.24,290.35,289.075,289.99,40153954,268.63,268.88,258.63,266.38,9569374
1851.31,1869.77,1848.0,1862.92,2788392,290.95,291.01,289.5,290.1705,46807170,265.75,275.0,264.72,273.31,6865386
1872.5,1876.473,1860.44,1864.82,2588487,291.4,291.425,288.99,289.48,46295526,274.75,274.79,268.535,271.219,4932059
1866.2,1870.82,1859.48,1861.4,2613709,290.1,290.32,288.66,290.02,56552902,271.23,274.84,269.75,273.26,5644604
1855.4,1888.42,1845.64,1888.04,3196934,289.17,290.435,289.07,290.31,33279979,269.0,269.68,262.48,262.8943,11419980
1891.2,1929.26,1889.58,1924.17,4123487,290.68,293.14,290.42,292.85,46533520,260.15,265.6,255.75,263.98,10233659
1925.1,1929.69,1898.16,1900.88,3044542,292.79,293.16,292.07,292.23,38523204,263.85,265.32,258.0,258.6906,8333946
1917.0035,1922.45,1900.31,1902.16,4154636,292.12,292.78,290.73,292.08,46782846,255.03,259.0,246.07,247.573,20585363
